"MUNICIPIO","DIA DE LA SEMANA","TIPO DE VEHICULO","FECHA ENTRADA","PESO ENTRADA (KG)","FECHA DE SALIDA","PESO SALIDA (KG)","PESO NETO (KG)","SITIO DE DISPOSICION FINAL","TIPO DE RESIDUOS","MES","AÑO"
"Lebrija","SÁBADO","COMPACTADOR DOBLE TROQUE","2025 Aug 02 12:00:00 AM","26,740","2025 Aug 02 12:00:00 AM","14,660","12,080","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","SÁBADO","COMPACTADOR DOBLE TROQUE","2025 Aug 02 12:00:00 AM","23,450","2025 Aug 02 12:00:00 AM","14,610","8,840","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","LUNES","COMPACTADOR DOBLE TROQUE","2025 Aug 04 12:00:00 AM","25,480","2025 Aug 04 12:00:00 AM","14,660","10,820","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","MARTES","COMPACTADOR DOBLE TROQUE","2025 Aug 05 12:00:00 AM","24,170","2025 Aug 05 12:00:00 AM","14,680","9,490","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","MARTES","COMPACTADOR DOBLE TROQUE","2025 Aug 05 12:00:00 AM","24,650","2025 Aug 05 12:00:00 AM","14,740","9,910","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","JUEVES","COMPACTADOR DOBLE TROQUE","2025 Aug 07 12:00:00 AM","26,270","2025 Aug 07 12:00:00 AM","14,880","11,390","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","SÁBADO","COMPACTADOR DOBLE TROQUE","2025 Aug 09 12:00:00 AM","24,050","2025 Aug 09 12:00:00 AM","14,600","9,450","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","VIERNES","COMPACTADOR DOBLE TROQUE","2025 Aug 09 12:00:00 AM","23,750","2025 Aug 09 12:00:00 AM","14,720","9,030","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","LUNES","COMPACTADOR DOBLE TROQUE","2025 Aug 11 12:00:00 AM","23,970","2025 Aug 11 12:00:00 AM","14,820","9,150","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","MIÉRCOLES","COMPACTADOR DOBLE TROQUE","2025 Aug 13 12:00:00 AM","26,020","2025 Aug 13 12:00:00 AM","14,700","11,320","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","MIÉRCOLES","COMPACTADOR DOBLE TROQUE","2025 Aug 13 12:00:00 AM","24,300","2025 Aug 13 12:00:00 AM","14,600","9,700","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","SÁBADO","COMPACTADOR DOBLE TROQUE","2025 Aug 16 12:00:00 AM","28,430","2025 Aug 16 12:00:00 AM","14,800","13,630","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","SÁBADO","COMPACTADOR DOBLE TROQUE","2025 Aug 16 12:00:00 AM","23,000","2025 Aug 16 12:00:00 AM","14,760","8,240","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","MARTES","SENCILLO","2025 Aug 19 12:00:00 AM","17,460","2025 Aug 19 12:00:00 AM","11,260","6,200","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","MARTES","COMPACTADOR DOBLE TROQUE","2025 Aug 19 12:00:00 AM","21,410","2025 Aug 19 12:00:00 AM","14,610","6,800","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","MARTES","COMPACTADOR DOBLE TROQUE","2025 Aug 19 12:00:00 AM","19,690","2025 Aug 19 12:00:00 AM","14,790","4,900","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","MIÉRCOLES","COMPACTADOR DOBLE TROQUE","2025 Aug 20 12:00:00 AM","25,630","2025 Jan 18 12:00:00 AM","14,810","10,820","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","JUEVES","COMPACTADOR DOBLE TROQUE","2025 Aug 21 12:00:00 AM","24,320","2025 Aug 21 12:00:00 AM","14,720","9,600","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","JUEVES","COMPACTADOR DOBLE TROQUE","2025 Aug 21 12:00:00 AM","26,960","2025 Aug 21 12:00:00 AM","14,590","12,370","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","VIERNES","COMPACTADOR DOBLE TROQUE","2025 Aug 22 12:00:00 AM","21,230","2025 Aug 22 12:00:00 AM","14,710","6,520","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","SÁBADO","COMPACTADOR DOBLE TROQUE","2025 Aug 23 12:00:00 AM","23,540","2025 Aug 23 12:00:00 AM","14,640","8,900","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","LUNES","COMPACTADOR DOBLE TROQUE","2025 Aug 25 12:00:00 AM","21,910","2025 Aug 25 12:00:00 AM","14,800","7,110","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","LUNES","COMPACTADOR DOBLE TROQUE","2025 Aug 25 12:00:00 AM","23,960","2025 Aug 25 12:00:00 AM","14,630","9,330","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","MARTES","COMPACTADOR DOBLE TROQUE","2025 Aug 26 12:00:00 AM","24,710","2025 Aug 26 12:00:00 AM","14,560","10,150","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","JUEVES","COMPACTADOR DOBLE TROQUE","2025 Aug 28 12:00:00 AM","25,140","2025 Aug 28 12:00:00 AM","14,660","10,480","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","SÁBADO","COMPACTADOR DOBLE TROQUE","2025 Aug 30 12:00:00 AM","23,110","2025 Aug 30 12:00:00 AM","14,610","8,500","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
"Lebrija","SÁBADO","COMPACTADOR DOBLE TROQUE","2025 Aug 30 12:00:00 AM","27,120","2025 Aug 30 12:00:00 AM","14,630","12,490","Parque Tecnológico Ambiental San Silvestre","ordinarios","8","2,025"
